temperatura;pressao;altitude;umidade;co2;tempo_registro;regiao;;
31,54;92525,62;814,82;46;0;05/12/2024 14:26;Centro;;
31,55;92527,61;814,64;46;0;05/12/2024 14:25;Centro;;
31,55;92527,42;814,66;46;0;05/12/2024 14:25;Centro;;
31,55;92529,44;814,48;46;0,42;05/12/2024 14:25;Centro;;
31,56;92527,85;814,62;46;0,05;05/12/2024 14:25;Centro;;
31,56;92528,25;814,59;46;0;05/12/2024 14:25;Centro;;
31,56;92527,96;814,61;46;0;05/12/2024 14:25;Centro;;
31,57;92531,11;814,33;46;0;05/12/2024 14:25;Centro;;
31,57;92530,55;814,38;46;0;05/12/2024 14:25;Centro;;
31,57;92528,4;814,57;46;0,2;05/12/2024 14:25;Centro;;
31,56;92528,03;814,6;46;0;05/12/2024 14:25;Centro;;
31,57;92531,87;814,26;46;0,15;05/12/2024 14:25;Centro;;
31,57;92530,88;814,35;46;0;05/12/2024 14:25;Centro;;
31,56;92529,35;814,49;46;0;05/12/2024 14:24;Centro;;
31,56;92531,39;814,3;46;0;05/12/2024 14:24;Centro;;
31,56;92528,3;814,58;46;0,18;05/12/2024 14:24;Centro;;
31,56;92528,69;814,55;46;0;05/12/2024 14:24;Centro;;
31,57;92529,36;814,49;46;0,11;05/12/2024 14:24;Centro;;
31,57;92531,38;814,34;46;0;05/12/2024 14:24;Centro;;
31,57;92533,33;814,13;46;0;05/12/2024 14:24;Centro;;
31,57;92528,04;814,6;46;0;05/12/2024 14:24;Centro;;
31,57;92531,61;814,28;46;0,18;05/12/2024 14:24;Centro;;
31,57;92533,92;814,08;46;0;05/12/2024 14:24;Centro;;
31,57;92531,54;814,29;46;0;05/12/2024 14:24;Centro;;
31,57;92529,72;814,45;46;0;05/12/2024 14:24;Centro;;
31,57;92531,87;814,26;46;1,43;05/12/2024 14:23;Centro;;
